update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1218.7879497134763,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9449119567871094,0.006641458341619,0.0038251131772994995,0.00018553864538262133,0.012586686826872959,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1178.7146111227596,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9451843053102493,0.005212224437855184,0.0007711804382779519,1.4613369103244622e-05,0.0011501514544581693,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1247.2676197857936,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9448203295469284,0.0032057283679023385,0.0005910334512009285,1.2564293797368009e-05,0.0009608982401585263,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1158.214458186117,6,0.03679199144244194,0.14249477013038342,0.0,0.588671863079071,29.25,113.28476287656694,0.0,468.0,1.9420455247163773,0.009010364883579314,-0.004634622950106859,0.0006823389339842834,0.006027882342030374,0.03679199144244194,0.14249477013038342,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1221.5510249587956,8,0.03679199144244194,0.14249477013038342,0.0,0.588671863079071,29.25,113.28476287656694,0.0,468.0,1.9433025419712067,0.013099973555654287,0.0019215671854908578,4.517971183304326e-05,0.0022658007652132175,0.03679199144244194,0.14249477013038342,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1273.8854740061615,10,0.08269042894244194,0.17811545603451237,0.0,0.588671863079071,119.25,253.64258810381193,0.0,743.0,1.9393789023160934,0.017137844115495682,-0.0031126252870308235,0.00038985084029263817,0.011574608375812891,0.08269042894244194,0.17811545603451237,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1281.5834153786705,11,0.08269042894244194,0.17811545603451237,0.0,0.588671863079071,119.25,253.64258810381193,0.0,743.0,1.9421966820955276,0.018100912682712078,0.0034709374594967812,0.00023442470137524651,0.0047069890803543065,0.08269042894244194,0.17811545603451237,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1261.742756454473,13,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071,943.9375,159.32571541891787,468.0,1024.0,1.9430333822965622,0.014869116712361574,0.003033094122656621,0.0001785607355486718,0.003964614867153464,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1271.4060514060466,14,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071,943.9375,159.32571541891787,468.0,1024.0,1.9449386298656464,0.010480234865099192,0.0021701085206586868,7.114984327927232e-06,0.0008535808105136588,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,1257.5658890487575,16,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071,943.9375,159.32571541891787,468.0,1024.0,1.9449040442705154,0.00839876284589991,0.0017301934858551249,1.1311623438814422e-05,0.0009092137076990737,0.09536743070930243,0.17899491014474542,0.0,0.588671863079071
11,22528,1235.0191101612365,18,0.08740234281867743,0.1585319870341189,0.0,0.46123045682907104,953.0,134.12773762350574,613.0,1024.0,1.942852422595024,0.009741845424287021,-0.002481818830347038,0.00013099149236950325,0.004562291822701366,0.08740234281867743,0.1585319870341189,0.0,0.46123045682907104
12,24576,1264.0562345964966,19,0.06318969558924437,0.13927880757964123,0.0,0.46123045682907104,973.4375,117.4377328363844,613.0,1024.0,1.9412935078144073,0.010587464552372694,0.0018638789624674246,4.9566915549803525e-05,0.003005134793391893,0.06318969558924437,0.13927880757964123,0.0,0.46123045682907104
