update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,237.62633309318784,8,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825,27.8125,46.5379129715762,0.0,128.0,1.9444529637694359,0.09116576821543276,-0.012080562315532006,0.007969251069880556,0.03569124930271822,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,206.79195141300644,18,0.3154958635568619,0.40940662915665343,0.0,0.9657851457595825,44.375,58.13763303575404,0.0,174.0,1.9435976967215538,0.08955532731488347,-0.0006824562369729392,0.0029879019402869744,0.017496444805027857,0.3154958635568619,0.40940662915665343,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,166.35731701214252,30,0.3756921458989382,0.39376863531007233,0.0,0.9657851457595825,118.5,114.70069746954462,0.0,363.0,1.9438026323914528,0.08674330520443618,0.008119626188999973,0.0019227113207307411,0.01678328431936059,0.3756921458989382,0.39376863531007233,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,173.24327045610198,42,0.4323347080498934,0.4007731333459323,0.0,0.9657851457595825,153.4375,127.6557718779296,0.0,442.0,1.944646779447794,0.08708043489605188,0.006927570717380149,0.002750815655417682,0.013513757227601137,0.4323347080498934,0.4007731333459323,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,150.882139267172,56,0.14184917509555817,0.2988996036541593,0.0,0.9062809944152832,357.5,240.42722391609482,34.0,605.0,1.9430540911853313,0.07389364438131452,0.015661570068914443,0.0018154623085138155,0.016938558175048184,0.14184917509555817,0.2988996036541593,0.0,0.9062809944152832
6,12288,186.04575582216108,11,0.17308884114027023,0.3607138122550343,0.0,0.9761983752250671,37.4375,33.68784786462323,0.0,102.0,1.9359081014990807,0.06801050895592198,0.00027716849581338465,0.009562448583892547,0.04998240305279468,0.17308884114027023,0.3607138122550343,0.0,0.9761983752250671
7,14336,203.41250620395107,21,0.3560537174344063,0.41124163523685386,0.0,0.9761983752250671,93.8125,61.25889603763685,16.0,239.0,1.9411991275846958,0.13043394428677857,0.001562470592034515,0.004062696625624085,0.020789302680747534,0.3560537174344063,0.41124163523685386,0.0,0.9761983752250671
8,16384,235.2735015572677,29,0.5115702450275421,0.4056665567284426,0.0,0.9404958486557007,126.0625,75.92222068505373,40.0,301.0,1.9371420219540596,0.12329312576912344,-0.0017802918373490684,0.0074682434060378,0.04815971381757743,0.5115702450275421,0.4056665567284426,0.0,0.9404958486557007
9,18432,200.37666883078228,40,0.5126859489828348,0.42893514421811435,0.0,0.9479339122772217,189.125,160.1053852154886,35.0,504.0,1.932846587151289,0.13936000899411738,-0.011470424971776083,0.009267985478800256,0.0568686899991618,0.5126859489828348,0.42893514421811435,0.0,0.9479339122772217
10,20480,170.8197613679478,52,0.4073037225753069,0.43520704494902046,0.0,0.9479339122772217,227.4375,215.66553061105986,35.0,605.0,1.936410240828991,0.13596144365146756,-0.0009639587151468731,0.009689173006336205,0.04205720502949293,0.4073037225753069,0.43520704494902046,0.0,0.9479339122772217
11,22528,123.26430401301405,16,0.39490213519648504,0.4636448962434632,0.0,0.9747107625007629,49.8421052631579,29.360308255040938,9.0,118.0,1.9275575913488865,0.17392276506870985,0.0012598653556779027,0.01991164160426706,0.0561634773616216,0.39490213519648504,0.4636448962434632,0.0,0.9747107625007629
12,24576,127.13424866150594,32,0.48729752004146576,0.44310044312932106,0.0,0.9717355370521545,59.6,37.97815161378974,16.0,147.0,1.9198320545256138,0.22332763765007257,-0.024448650307022035,0.017225095973117277,0.04310921291276297,0.48729752004146576,0.44310044312932106,0.0,0.9717355370521545
13,26624,124.13041526853306,49,0.5886658813272204,0.44594219389729783,0.0,0.9732231497764587,55.035714285714285,63.610130674993876,18.0,319.0,1.9077606722712517,0.2667702501639724,-0.02643485218868591,0.024566684674937278,0.057454575458522554,0.5886658813272204,0.44594219389729783,0.0,0.9732231497764587
14,28672,118.3861318645219,66,0.4541074335575104,0.4556719771724325,0.0,0.9642975330352783,61.4,33.36974677758283,21.0,160.0,1.9113623760640621,0.2213670378550887,0.011121457704575732,0.020604782708687708,0.06435697536218532,0.4541074335575104,0.4556719771724325,0.0,0.9642975330352783
15,30720,110.01006339765581,85,0.4335189210741143,0.45816975277470556,0.0,0.9702479243278503,140.3684210526316,202.80745613987665,20.0,605.0,1.9158113598823547,0.2206788039766252,0.002131705536157824,0.014358218730194494,0.05097930934773806,0.4335189210741143,0.45816975277470556,0.0,0.9702479243278503
