update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,179.935591616915,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9455906301736832,0.06256806012243032,0.011307019158266485,0.000187606742429125,0.013921124795538926,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,109.29249659565276,30,0.07944215089082718,0.21018483292349824,0.0,0.6370248198509216,40.0,85.4956139225867,0.0,246.0,1.943064410239458,0.07125622523017228,0.0018760903112706728,0.002523387217479467,0.011866900774158758,0.07944215089082718,0.21018483292349824,0.0,0.6370248198509216
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,78.2102299523006,56,0.10679752193391323,0.22595590241570082,0.0,0.6370248198509216,85.125,134.12488350414327,0.0,378.0,1.9450670629739761,0.06624975905288011,0.00788224913412705,0.0005527415399910751,0.004765003844635367,0.10679752193391323,0.22595590241570082,0.0,0.6370248198509216
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,215.57484642496635,9,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825,27.8125,46.5379129715762,0.0,128.0,1.9444529674947262,0.09116570418700576,-0.012080561704351567,0.007969227408466395,0.035691067765957846,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,112.76145832839697,27,0.27038222923874855,0.4022763483124175,0.0,0.9657851457595825,68.5,76.12407634907632,0.0,233.0,1.944258902221918,0.08191724540665746,0.006027141231243149,0.003018467756191967,0.01069674559802614,0.27038222923874855,0.4022763483124175,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,77.5794951082595,54,0.42403925210237503,0.42675911101457403,0.0,0.9657851457595825,91.25,73.53698049281056,0.0,233.0,1.9435674622654915,0.08408084639813751,-0.00020747115922858939,0.0044001005499012535,0.031167108195514284,0.42403925210237503,0.42675911101457403,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,172.22807365041785,11,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825,27.8125,46.5379129715762,0.0,128.0,1.9444529488682747,0.09116572490893304,-0.012080561340553686,0.007969238344230689,0.03569101625956041,0.21513429656624794,0.37391536436374434,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,137.57362374198652,26,0.27038222923874855,0.4022763483124175,0.0,0.9657851457595825,68.5,76.12407634907632,0.0,233.0,1.94425917416811,0.08191675040870905,0.006027278701367322,0.003018478761532606,0.01069509900275948,0.27038222923874855,0.4022763483124175,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,65.61515599121465,58,0.42403925210237503,0.42675911101457403,0.0,0.9657851457595825,91.25,73.53698049281056,0.0,233.0,1.943578913807869,0.08399370138067752,-0.00020519599638646469,0.0044049123862350825,0.0313854222166294,0.42403925210237503,0.42675911101457403,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,54.46244788160831,95,0.5423656981438398,0.3878980811883203,0.0,0.9657851457595825,161.75,109.28546335171939,23.0,441.0,1.9420128054916859,0.09857011516578496,0.002663832647158415,0.003080079263781954,0.02307425294009259,0.5423656981438398,0.3878980811883203,0.0,0.9657851457595825
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,54.57782241064796,133,0.2719834689050913,0.3683987707027538,0.0,0.9226446151733398,399.1875,226.87034258304897,52.0,605.0,1.9447494596242905,0.0828770324587822,0.01764562213793397,0.000796225563135522,0.008738337888178634,0.2719834689050913,0.3683987707027538,0.0,0.9226446151733398
